review,rating,Sentiment
"I had the Samsung A600 for awhile which is absolute doo doo. You can read my review on it and detect my rage at the stupid thing. It finally died on me so I used this Nokia phone I bought in a garage sale for $1. I wonder y she sold it so cheap?... Bad: ===> I hate the menu. It takes forever to get to what you want because you have to scroll endlessly. Usually phones have numbered categories so u can simply press the # and get where you want to go. ===> It's a pain to put it on silent or vibrate. If you're in class and it rings, you have to turn it off immediately. There's no fast way to silence the damn thing. Always remember to put it on silent! I learned that the hard way. ===> It's so true about the case. It's a mission to get off and will break ur nails in the process. Also, you'll damage the case each time u try. For some reason the phone started giving me problems once I did succeed in opening it. ===> Buttons could be a bit bigger. Vibration could be stronger. Good: ===> Reception is not too shabby. I was using it in the elevator which is a remarkable feat considering my old phone would lose service by simply putting it in my pocket. ===> Compared to my old Samsung, this phone works quite well. The ring tones are loud enough to hear and the phone actually charges quickly and has great battery life. It doesn't heat up like a potatoe in the oven either during long phone convos. ===> Nice bright, large screen. ===> Cute ways to customize it. Scroll bar can be set to purple, pink, aqua, orange, etc. Overall: Okay phone. It serves its purpose but definitely pales in comparison to these new phones coming out from Sprint. Why get so so when you can get great?",3,Positive
"Due to a software issue between Nokia and Sprint this phone's text messaging capabilities don't work with Sprint's system and won't until a software patch comes out ""some time in the next few months"". You will have to spend at least 1 hour with Sprint's award winning customer service team to find someone who will admit this to you. The problem is that Nokia designed their phones so that incoming messages are retrieved quickly and then viewed ""offline"" the way most providers work. Sprint, however, likes to have people hook up to their server first and then stay connected, burning minutes while they check their inbox, compose a reply and wait for the Sprint server to respond so they can send it out. Innovation in money-making at its finest.",1,Positive
"This is a great, reliable phone. I also purchased this phone after my samsung A460 died. The menu is easily comprehendable and speed dialing is available for around 300 numbers. Voice dialing is also a nice feature, but it takes longer than speed dialing. The only thing that bothers me is the games...Nokia seems to have taken snake (1 and 2) off their phones. There is a skydiving game, bowling, and tennis (like pong). The ringers are very nice, and a feature is available to choose a different ringer for each person calling. However, ringtones are not available online to download to this phone. You're pretty much stuck with what you have. There are vibrating ringtones and regular (midi) polyphonic tones. All they need are covers in a reasonable price range...",5,Positive
"I love the phone and all, because I really did need one, but I didn't expect the price of the bill when I received one. Also, I've had my phone for a little over two months now and still have yet to receive my free accessories that were supposed to come with the phone. Every time I call the company, they keep telling me to wait a couple of weeks, and that I should be receiving it shortly. Other than that, I do love the phone and all that I am able to do with it; and I'm not just talking about making the phone calls! :)",3,Positive
"The phone has been great for every purpose it offers, except the day i bought it-i couldnt get the case off. You can take the case off to put your own pictures in the jaket which is super cool, but when i took it back to the store-an employee said they were meant to be hard to get off. Well, he could barely even get it off- he came close to snapping the casing in half. I was never able to get it off after that which isnt THAT big of a deal, but it got dirty under the clear casing and it looks really dirty now. MAKE SURE YOU CAN GET YOUR CASE ON AND OFF! Oh and you have to charge it ALL off the time.",4,Positive
"Hello, I have this phone and used it until I decided to buy a flip phone. I have had NO problems with the battery or new cases--it has a new fish case on it now and it stays as well as the original one. I have added ring tones, and music so it was all good for me--as a matter of fact I am willing to sell this phone, the home charger and the car charger for a great deal--email me--(...)",4,Positive
"Cool. Cheap. Color: 3 words that describe the Nokia 3588 perfectly. I mean, what more DO you want? This beauty's got classic, sleek looks that jerks you a little about a Nokia 3310's looks. The 3588 also has some amazing ringtones. And I own a cellphone shop, so I have the experience. I RATE THIS THE 5TH BEST PHONE THAT I'VE EVER COME ACROSS IN MY STORE. Do you need more prompting to buy this, pal? Well, then here it comes!: The Nokia 3599 includes an alarm clock, calendar, voice recorder, calculator and stopwatch . And trust me, its good value for money if you're on a tight budget. And oh, if you're thinking of getting this for a teenager, you've come to the right phone; they'll go crazy after its looks AND its color LCD (which happens to be a little oversize). If this phone's goin' for an adult, you've hit da soda pop again, you lucky person! NOW are ya convinced that this mobile's REAL! (it is).",5,Positive
"The 3599i is overall a nice phone, except that Nokia made its universal headset jack incompatible with most 2.5mm universal headsets (even their own). A phone call to tech support was required to find out that you need to buy a headset that plugs into the Pop-port accessory connector on the bottom of the phone. They ended up suggesting the HDB-5 headset.",4,Positive
"I've never owned a Nokia phone before, so this is a first for me. I really like the phone alot, the reception is great...even though the signal strength show's being low. The quality of the phone is great too, it feels sturdy and weighted. I highly recommend this phone.",5,Positive
ok well im in school and i need the text messaging and ive had this phone for about a month and text messaging was supposed to start working 2weeks ago.A conflict of software type stuff and btween nokia and sprint.(Its down to 4 stars) And the fact it cant download ringtones.(3stars)Or games(2 stars)But you cant beat a nearfree or free color phone(back to 3 stars) as soon as it gets text messaging it should b 4 stars.,3,Positive
